12;450113553
12;450113553
12;450100000
12;450113000
13;356711474
15;550942608
23;531271803
30;777681125
40;107391952
45;981395309
53;969209549
59;377490127
68;857925272
70;653990791
80;320006023
87;797316131
95;766318778
97;238673473
103;457903365
109;444159262
116;878590631
118;854035300
121;869516711
126;685854864
135;736202159
143;908567757
145;774527675
146;743995811
149;559933538
154;634516158
159;954134057
160;236789770
168;364991117
169;535758773
170;692841511
172;251577090
175;532743514
180;901981774
185;401755672
193;290761928
198;819172709
200;783222414
208;936667353
214;858328451
218;228671283
219;430234910
229;711067880
238;707946153
248;582121185
251;596048836
256;488397858
260;290761928
264;711067880
271;559933538
281;797316131
282;488397858
291;634516158
300;908567757
307;969209549
317;774527675
326;766318778
331;858328451
340;320006023
348;238673473
352;736202159
355;457903365
363;320006023
367;736202159
369;797316131
374;766318778
378;766318778
380;766318778
382;766318778
384;531271803
392;869516711
396;377490127
402;653990791
410;596048836
412;582121185
418;908567757
427;901981774
437;457903365
442;444159262
446;819172709
450;908567757
454;766318778
463;736202159
470;766318778
473;766318778
476;251577090
483;401755672
491;857925272
497;954134057
503;559933538
507;450113553
517;364991117
523;238673473
529;954134057
536;364991117
545;550942608
549;559933538
555;783222414
560;236789770
570;777888999
577;999888777
